word2,he,she,total,logratio,freq
snuggles,2.5096062149003688e-5,1.875830445770263e-4,43,2.901996517979367,7.474600734700257
giggles,1.4221101884435422e-4,7.659640986895241e-4,196,2.4292435208442362,5.386109352945775
squeals,3.9038318898450176e-5,1.9800432483130551e-4,50,2.342569109365349,5.072050498546605
sobs,1.0038424859601475e-4,4.4811505093400724e-4,120,2.1583362712391527,4.463997661001542
weeps,6.134592969756457e-5,2.5011072610270173e-4,68,2.027527400063226,4.077054946200141
blushes,8.923044319645755e-5,3.28270328009796e-4,93,1.8792764414792837,3.6789050491102833
clings,1.1432650534546124e-4,3.9600864966261103e-4,115,1.7923720268048688,3.463839364861095
rocks,5.855747834767527e-5,1.7716176432274705e-4,53,1.5971419364509465,3.0254336307120093
shrieks,1.1432650534546124e-4,3.334809681369356e-4,103,1.5444445133612836,2.9169173598830276
hugs,5.939401375264205e-4,0.0017299325222103535,543,1.5423263291004539,2.912637844977096
shrinks,4.7403672948118074e-5,1.354766433056301e-4,41,1.51497339487012,2.8579355750324518
gasps,4.7682518083107006e-4,0.0012766068311492068,414,1.42078194209604,2.6773058187157357
responds,2.0355694854191878e-4,5.419065732225204e-4,175,1.4126116772404422,2.6621865630439276
trembles,5.576902699778597e-5,1.4589792355990932e-4,46,1.3874233451496087,2.61611025714509
pets,5.0192124298007376e-5,1.302660031784905e-4,41,1.3759277063117796,2.5953474773264786
flinches,1.5336482424391142e-4,3.9600864966261103e-4,129,1.368564317898293,2.5821347992600887
arches,8.923044319645755e-5,2.2405752546700362e-4,73,1.3282612726814653,2.510998684313368
utters,5.298057564789667e-5,1.302660031784905e-4,42,1.2979251943105066,2.4587502416777167
shudders,1.3663411614457563e-4,3.28270328009796e-4,110,1.2645665973640754,2.402550236153654
startles,5.855747834767527e-5,1.406872834327697e-4,46,1.2645665973640754,2.402550236153654
buries,1.728839836931365e-4,4.116405700440299e-4,139,1.251580955769595,2.3810220082311306
swats,7.249973509712176e-5,1.7195112419560743e-4,57,1.2459509191967286,2.3717483100491203
murmurs,8.365354049667896e-5,1.9800432483130551e-4,66,1.2430334358144342,2.3669568993217482
resists,9.480734589623615e-5,2.2405752546700362e-4,75,1.2407984314311258,2.363292879353758
hovers,5.576902699778597e-5,1.302660031784905e-4,43,1.2239246128667294,2.3358127295938305
caresses,1.3663411614457563e-4,3.1263840762837714e-4,107,1.1941772694726773,2.288143082051099
awakens,8.365354049667896e-5,1.875830445770263e-4,64,1.165030923813161,2.2423802204100776
shivers,1.7009553234324722e-4,3.69955449026913e-4,130,1.121006299921163,2.1749862793595014
screams,0.0014332639938430993,0.0031003308756480732,1107,1.113117826980795,2.163126185382614
dances,2.007684971920295e-4,4.324831305525884e-4,153,1.1071109478839796,2.154138406180977
beats,9.201889454634685e-5,1.9800432483130551e-4,69,1.105529912064499,2.1517789993834073
absently,7.528818644701106e-5,1.615298439413282e-4,56,1.1013053262027739,2.145487247923222
flees,5.855747834767527e-5,1.2505536305135087e-4,43,1.094641595921763,2.1356002099143594
cleans,9.759579724612544e-5,1.9800432483130551e-4,71,1.020641014477986,2.0288201994186412
stirs,2.6769132958937264e-4,5.419065732225204e-4,198,1.0174737353993035,2.0243710323146535
straddles,7.528818644701106e-5,1.5110856368704895e-4,54,1.0050900109434708,2.0070687157991434
cries,4.991327916301845e-4,9.84810984029388e-4,366,0.9804231649361833,1.9730440486848444
moans,2.0355694854191878e-4,3.9600864966261103e-4,147,0.9600994725429354,1.945444026839793
bites,3.0394119713793354e-4,5.888023343667769e-4,220,0.9539911556176284,1.9372245023420391
realises,9.201889454634685e-5,1.7716176432274705e-4,65,0.9450652398712531,1.925275946816733
mouths,1.2548031074501842e-4,2.396894458484225e-4,89,0.9337053777067055,1.9101757433122883
accepts,1.728839836931365e-4,3.28270328009796e-4,123,0.9250801310924085,1.8987897027665979
wore,8.923044319645755e-5,1.667404840684678e-4,62,0.9019965179793673,1.8686501836750646
smiles,0.008591218609008928,0.015965401349555795,6143,0.8940141328649732,1.85833955299591
laughs,0.002568163693248044,0.004720839955188495,1825,0.8783064119342666,1.838216141595666
wrote,1.2548031074501842e-4,2.2926816559414324e-4,87,0.8695750402869898,1.827124624037841
serves,8.644199184656825e-5,1.5631920381418857e-4,59,0.8546908032010105,1.808371145491998
scoots,6.692283239734316e-5,1.1984472292421124e-4,45,0.8405959733152242,1.7907897593552704
liked,6.413438104745386e-5,1.1463408279707162e-4,43,0.8378661805596517,1.7874045235152791
arranges,6.134592969756457e-5,1.09423442669932e-4,41,0.8348823221208302,1.7837115389625615
scampers,6.134592969756457e-5,1.09423442669932e-4,41,0.8348823221208302,1.7837115389625615
storms,3.429795160363837e-4,6.044342547481958e-4,237,0.8174630077676994,1.7623042382626624
twirls,9.759579724612544e-5,1.7195112419560743e-4,66,0.8171076203928543,1.7618701731793467
softens,8.923044319645755e-5,1.5631920381418857e-4,60,0.8088871135878858,1.751859547195373
ignores,4.7682518083107006e-4,8.232811400880598e-4,327,0.7879247512705722,1.7265890586003518
softly,6.971128374723247e-5,1.1984472292421124e-4,46,0.7817022842616554,1.7191581689810593
faints,6.692283239734316e-5,1.1463408279707162e-4,44,0.7764656358955084,1.712929335035476
wonders,6.692283239734316e-5,1.1463408279707162e-4,44,0.7764656358955084,1.712929335035476
fades,6.413438104745386e-5,1.09423442669932e-4,42,0.7707519847011146,1.7061588633554936
sags,1.2826876209490773e-4,2.18846885339864e-4,86,0.7707519847011146,1.7061588633554936
hesitates,0.001466725410041771,0.0024281582992470626,990,0.7272636733413451,1.655496170328099
casts,1.4499947019424352e-4,2.396894458484225e-4,96,0.7251187558952878,1.6530367009433262
applies,9.480734589623615e-5,1.5631920381418857e-4,62,0.7214242723375464,1.6488089855956451
hisses,9.480734589623615e-5,1.5631920381418857e-4,62,0.7214242723375464,1.6488089855956451
fiddles,9.201889454634685e-5,1.5110856368704895e-4,60,0.7155833937484859,1.64214713110839
kisses,0.0032373920172214755,0.005278378448792434,2172,0.7052627199149388,1.630441546996417
sings,4.963443402802952e-4,8.076492197066409e-4,331,0.7023874922872068,1.6271953846608704
awkwardly,6.413438104745386e-5,1.0421280254279238e-4,41,0.7003626568097168,1.6249132031957083
smokes,1.924031431423616e-4,3.1263840762837714e-4,127,0.7003626568097165,1.624913203195708
stretches,2.9278739173837636e-4,4.7416825156970535e-4,194,0.6955456405119409,1.6194968258517226
sips,4.29421507882952e-4,6.930151369095694e-4,285,0.6904924127856554,1.6138342495375557
unbuttons,1.2269185939512914e-4,1.9800432483130551e-4,80,0.6904924127856553,1.6138342495375555
stiffens,1.1990340804523983e-4,1.9279368470416592e-4,78,0.6851851289062192,1.6079082975808696
hurriedly,9.759579724612544e-5,1.5631920381418857e-4,63,0.6796040966429193,1.6017001574357697
hurries,0.0011404766021047231,0.001818513404371727,756,0.6731227112472705,1.594520572377989
dries,1.3105721344479704e-4,2.0842560508558476e-4,85,0.669335761189092,1.5903405818511185
look,1.2269185939512914e-4,1.9279368470416592e-4,79,0.6520182649710197,1.5713649271813042
locates,6.971128374723247e-5,1.09423442669932e-4,44,0.6504577509834026,1.569666154287054
threw,6.971128374723247e-5,1.09423442669932e-4,44,0.6504577509834026,1.569666154287054
smooths,8.644199184656825e-5,1.354766433056301e-4,55,0.6482399257335844,1.5672549927597317
nods,0.0050387315892499625,0.007847224031472266,3311,0.6391217817866957,1.5573808392997492
stubs,6.692283239734316e-5,1.0421280254279238e-4,42,0.6389621121455733,1.557208486395887
instantly,1.3105721344479704e-4,2.0321496495844514e-4,84,0.632809885163978,1.5505820673048405
reappears,9.759579724612544e-5,1.5110856368704895e-4,62,0.6306944961619729,1.5483101521879106
wraps,4.935558889304059e-4,7.607534585623844e-4,321,0.6242155267763869,1.5413724678901661
clearly,1.4221101884435422e-4,2.18846885339864e-4,91,0.6218885987866319,1.5388883865559355
refuses,1.2548031074501842e-4,1.9279368470416592e-4,80,0.6195967872786424,1.5364457065772754
tiptoes,9.201889454634685e-5,1.406872834327697e-4,58,0.6124899007843821,1.5288956048250526
lingers,7.528818644701106e-5,1.1463408279707162e-4,47,0.606540634453196,1.5226038533648674
beams,1.896146917924723e-4,2.8658520699267903e-4,121,0.5958933902536874,1.511408236796008
pivots,7.249973509712176e-5,1.09423442669932e-4,45,0.5938742226170353,1.5092943791221674
curls,8.644199184656825e-5,1.302660031784905e-4,54,0.5916563973672168,1.506975954576665
glides,1.1432650534546124e-4,1.7195112419560743e-4,72,0.588838632719737,1.5040355136896861
strokes,4.099023484337269e-4,6.096448948753354e-4,262,0.5726888927264073,1.4872930033332146
meant,8.086508914678966e-5,1.1984472292421124e-4,50,0.5675774789088078,1.4820329042940166
abruptly,1.4778792154413283e-4,2.18846885339864e-4,93,0.5663934861949282,1.4808171266859
retrieves,1.4778792154413283e-4,2.18846885339864e-4,93,0.5663934861949282,1.4808171266859
bursts,3.624986754856088e-4,5.366959330953808e-4,231,0.5661292321341312,1.4805459147579358
rakes,6.692283239734316e-5,9.900216241565276e-5,41,0.5649615307017967,1.4793480620760928
relents,6.692283239734316e-5,9.900216241565276e-5,41,0.5649615307017967,1.4793480620760928
reluctantly,1.2826876209490773e-4,1.875830445770263e-4,80,0.5483595633646667,1.4624218828761375
frantically,1.645186296434686e-4,2.396894458484225e-4,103,0.542915424674539,1.4569137025263217
fidgets,7.528818644701106e-5,1.09423442669932e-4,46,0.539426438594659,1.453394587302828
understands,3.513448700860516e-4,5.106427324596827e-4,222,0.539426438594659,1.453394587302828
breaks,0.0013356681965969739,0.0019383581272959384,849,0.5372734833512186,1.451227282520092
recoils,1.6173017829357932e-4,2.3447880572128287e-4,101,0.5358686191814698,1.4498147976789293
hums,1.4778792154413283e-4,2.1363624521272438e-4,92,0.5316280680342514,1.4455595760505213
looked,1.3384566479468632e-4,1.9279368470416592e-4,83,0.526487382887161,1.4404178499161957
pretends,2.4259526744036897e-4,3.491128885183545e-4,152,0.5251422125884114,1.4390754288072336
trails,2.9557584308826567e-4,4.2206185029830914e-4,185,0.5139260663007926,1.4279308007328322
frowns,5.04709694329963e-4,7.190683375452675e-4,317,0.510675087674331,1.4247167146251873
retreats,1.756724350430258e-4,2.5011072610270173e-4,109,0.509679095200607,1.4237334732762397
gonna,6.971128374723247e-5,9.900216241565276e-5,42,0.5060678416482277,1.4201741395930487
licks,2.7605668363904056e-4,3.907980095354714e-4,172,0.5014585883956382,1.4156440785417153
touches,0.0016312440396852397,0.002308313576322851,1026,0.5008665920636185,1.415063301483852
reacts,5.576902699778597e-4,7.868066591980824e-4,349,0.49654506752972116,1.4108308886746734
nearly,1.7009553234324722e-4,2.396894458484225e-4,105,0.4948211364734938,1.4091460401484093
sighs,0.0011432650534546123,0.0016100877992861423,717,0.4939794463782959,1.4083241628185243
backs,0.001307783683098081,0.0018393559648802855,820,0.49207677873517086,1.4064680486935985
squirms,1.3384566479468632e-4,1.875830445770263e-4,82,0.4869590187005236,1.4014876377562986
embraces,3.0115274578804423e-4,4.2206185029830914e-4,187,0.4869590187005234,1.4014876377562984
panics,1.2826876209490773e-4,1.7716176432274705e-4,78,0.46589740317269374,1.381176222716352
yelps,1.2826876209490773e-4,1.7716176432274705e-4,78,0.46589740317269374,1.381176222716352
ends,9.480734589623615e-5,1.302660031784905e-4,57,0.45838986650375263,1.374007487996371
allows,1.979800458421402e-4,2.709532866112602e-4,121,0.4526891166157775,1.3685888669169488
flashes,3.0115274578804423e-4,4.116405700440299e-4,185,0.4508897639930016,1.3668830047252787
senses,5.074981456798523e-4,6.930151369095694e-4,313,0.4494843132818606,1.3655520573010087
exits,0.002317203071758007,0.0031472266367923297,1433,0.4416965905341016,1.3582006148492647
gathers,4.6567137543151283e-4,6.304874553838939e-4,286,0.4371554627799096,1.3539321690100767
collects,1.6173017829357932e-4,2.18846885339864e-4,98,0.4363329456305552,1.3531604778336672
receives,8.923044319645755e-5,1.1984472292421124e-4,53,0.4255584740363803,1.3430923195164528
drapes,1.0874960264568264e-4,1.4589792355990932e-4,65,0.42394922117472295,1.3415950036641489
folds,4.5451757003195565e-4,6.096448948753354e-4,278,0.42363308333169414,1.3413010520857824
undoes,1.4499947019424352e-4,1.9279368470416592e-4,87,0.4110101654672249,1.329616476845719
answers,8.30958502267011e-4,0.0011046557069535994,508,0.410748452080405,1.3293752984534017
shakes,0.0035469101170591878,0.004679154834171378,2168,0.39968519743615893,1.3192200196070818
instinctively,9.480734589623615e-5,1.2505536305135087e-4,56,0.3994961774501841,1.3190471884765163
replies,7.528818644701106e-5,9.900216241565276e-5,44,0.3950365292594841,1.314976055178749
told,2.5374907283992615e-4,3.334809681369356e-4,153,0.3942018777806709,1.314215513793452
freezes,7.751894752692249e-4,0.0010160748247922257,471,0.39038575900547046,1.310743833872797
resumes,2.7047978093926194e-4,3.543235286454941e-4,163,0.3895465170425791,1.30998157206087
creeps,2.0355694854191878e-4,2.657426464841206e-4,122,0.38459730107084567,1.3054953338003876
calms,1.4778792154413283e-4,1.9279368470416592e-4,88,0.3835294290451179,1.3045293735090073
gives,0.00445036835442332,0.005799442461506396,2707,0.38198945909898097,1.3031376280891898
rushes,0.0011795149210031732,0.0015319281973790481,715,0.3771550096957819,1.2987781418450803
sails,7.249973509712176e-5,9.379152228851315e-5,42,0.37148180128058755,1.2936808963904294
tentatively,7.249973509712176e-5,9.379152228851315e-5,42,0.37148180128058755,1.2936808963904294
thrashes,8.086508914678966e-5,1.0421280254279238e-4,47,0.36594361773915735,1.2887242646034927
becomes,5.632671726776382e-4,7.242789776724071e-4,339,0.36272610795108,1.2858533442120494
avoids,1.3384566479468632e-4,1.7195112419560743e-4,79,0.3614281366166647,1.284697001276607
clips,8.923044319645755e-5,1.1463408279707162e-4,52,0.3614281366166647,1.284697001276607
types,4.461522159822878e-4,5.731704139853581e-4,268,0.3614281366166642,1.2846970012766066
struggles,0.001466725410041771,0.0018810410858974024,885,0.3589325555742358,1.2824766469709092
fights,6.16247748325535e-4,7.868066591980824e-4,370,0.35249869791301425,1.2767700349997044
considers,4.628829240816235e-4,5.888023343667769e-4,277,0.3471360490476302,1.2720329563571222
leaves,0.003064508033528339,0.0038923481749732953,1844,0.34498527981937305,1.2701380229347343
thumbs,1.1153805399557194e-4,1.406872834327697e-4,65,0.3349559252554732,1.2613388739806684
cradles,1.4499947019424352e-4,1.8237240444988668e-4,85,0.3308398167832414,1.2577453159351395
covers,6.16247748325535e-4,7.711747388166637e-4,367,0.32354732421688537,1.2514037429136178
blinks,5.521133672780811e-4,6.878044967824297e-4,328,0.31703401725821106,1.2457667891167097
dabs,1.3384566479468632e-4,1.667404840684678e-4,78,0.31703401725821106,1.2457667891167097
meets,3.429795160363837e-4,4.2727249042544876e-4,203,0.31703401725821106,1.2457667891167097
rests,3.764409322350553e-4,4.6895761144256573e-4,223,0.31703401725821106,1.2457667891167097
regards,3.569217727858302e-4,4.429044108068676e-4,211,0.311387454117069,1.2409005125967225
tilts,1.812493377428044e-4,2.2405752546700362e-4,106,0.3058934596530106,1.2361839676619657
attacks,1.3105721344479704e-4,1.615298439413282e-4,76,0.30160397668860484,1.2325139509346168
darts,2.453837187902583e-4,3.022171273740979e-4,144,0.3005458944696419,1.2316103483312923
eyes,8.170162455175644e-4,0.0010056535445379464,484,0.29969670082519967,1.2308856158678751
brushes,4.6567137543151283e-4,5.731704139853581e-4,275,0.2996519390299745,1.2308474263727969
descends,2.2028765664125458e-4,2.709532866112602e-4,129,0.29865548794335667,1.229997589254473
gently,6.608629699237637e-4,8.128598598337805e-4,391,0.2986554879433564,1.2299975892544728
nervously,1.86826240442583e-4,2.2926816559414324e-4,109,0.2953389461588922,1.2271732549507888
returns,0.0012352839480009592,0.0015110856368704896,731,0.2907427194392834,1.2232698719317578
forces,5.074981456798523e-4,6.200661751296146e-4,299,0.28901964108861444,1.2218097354798498
closes,0.00333777626581749,0.004059088659041764,1974,0.2822685990975347,1.2161056750901216
fixes,2.230761079911439e-4,2.709532866112602e-4,130,0.28050814123309703,1.214622619388792
inhales,1.673070809933579e-4,2.0321496495844514e-4,97,0.28050814123309703,1.214622619388792
flings,4.3778686193261985e-4,5.262746528411016e-4,256,0.265587251839535,1.2021252773960607
plunges,1.951915944922509e-4,2.3447880572128287e-4,113,0.2645665973640756,1.2012751180768273
desperately,1.1711495669535053e-4,1.406872834327697e-4,67,0.26456659736407534,1.201275118076827
scoops,2.7326823228915125e-4,3.28270328009796e-4,159,0.26456659736407534,1.201275118076827
appears,7.640356698696678e-4,9.17072662376573e-4,448,0.2633960536561377,1.2003008479080706
glimpses,1.0874960264568264e-4,1.302660031784905e-4,62,0.26045048889184375,1.1978526818429902
clicks,7.612472185197785e-4,9.118620222494334e-4,446,0.26045048889184347,1.19785268184299
halts,1.0038424859601475e-4,1.1984472292421124e-4,57,0.25563347259406766,1.19385983957018
wakes,4.322099592328413e-4,5.158533725868223e-4,252,0.2552287327847392,1.1935249560247185
bolts,4.628829240816235e-4,5.523278534767997e-4,270,0.2548775411956417,1.1932344546358846
slaps,9.731695211113652e-4,0.0011567621082249954,569,0.2493291581198209,1.188654271564081
fumbles,4.824020835308486e-4,5.731704139853581e-4,281,0.24872800386730212,1.1881590763251855
quickly,0.0019770120070715124,0.0023447880572128287,1157,0.24613589195688831,1.1860262096668253
wears,0.002660182587794391,0.0031420159966651902,1555,0.24016525387394044,1.1811279462851823
clasps,1.0596115129579334e-4,1.2505536305135087e-4,60,0.23903150525693798,1.180200116005304
faces,3.624986754856088e-4,4.2727249042544876e-4,210,0.23718070956899642,1.1786870389335022
feeds,1.2826876209490773e-4,1.5110856368704895e-4,73,0.2364155570499264,1.1780620723168884
barely,2.9278739173837636e-4,3.4390224839121487e-4,169,0.23214511967169799,1.1745801154528976
shrugs,0.0013886487722448706,0.0016309303597947008,809,0.23201343284390472,1.1744729066070185
believes,1.3384566479468632e-4,1.5631920381418857e-4,76,0.22392461286672974,1.1679063647969155
floats,1.3384566479468632e-4,1.5631920381418857e-4,76,0.22392461286672974,1.1679063647969155
left,6.246131023752028e-4,7.294896177995467e-4,362,0.22392461286672974,1.1679063647969155
whacks,1.0317269994590405e-4,1.1984472292421124e-4,58,0.21610510840743027,1.1615933574196347
blows,6.91535934772546e-4,8.024385795795013e-4,400,0.21458674828739324,1.1603714850240319
immediately,4.1826770248339475e-4,4.845895318239846e-4,241,0.21233663859151794,1.1585631138785402
emerges,3.792293835849446e-4,4.37693770679728e-4,218,0.20685109950778807,1.1541662899169516
seems,0.0031816229902236898,0.003668290649506292,1843,0.2053450603279826,1.1529620765181816
slips,0.0018041280233783762,0.002079045410728708,1044,0.2046195522092053,1.1523824162076517
almost,7.779779266191142e-4,8.962301018680145e-4,449,0.2041399608522777,1.151999396387495
stares,0.008083720463329076,0.00929578198681708,4681,0.20155679983827512,1.1499385745692705
tugs,3.624986754856088e-4,4.168512101711695e-4,208,0.20155679983827512,1.1499385745692705
hates,2.3144146204081176e-4,2.657426464841206e-4,132,0.19938242860393818,1.148206739366606
slices,1.3663411614457563e-4,1.5631920381418857e-4,77,0.19417726947267733,1.1440715410255495
runs,0.005836228675318302,0.006659198082484433,3369,0.19031204267065246,1.141010480046217
leans,0.0047375788434619185,0.005398223171716645,2733,0.18833466848170027,1.1394476693863251
sounds,1.784608863929151e-4,2.0321496495844514e-4,101,0.1873987368416156,1.1387087056769924
washes,1.784608863929151e-4,2.0321496495844514e-4,101,0.1873987368416156,1.1387087056769924
swallows,5.576902699778597e-4,6.304874553838939e-4,319,0.17700356547923682,1.1305333611234138
should,7.19420448271439e-4,8.076492197066409e-4,411,0.16689366783035067,1.1226386762388953
accidentally,1.2548031074501842e-4,1.406872834327697e-4,70,0.16503092381316117,1.1211901102050388
cranes,1.1153805399557194e-4,1.2505536305135087e-4,62,0.16503092381316117,1.1211901102050388
observes,1.1153805399557194e-4,1.2505536305135087e-4,62,0.16503092381316117,1.1211901102050388
rifles,9.759579724612544e-5,1.09423442669932e-4,54,0.16503092381316117,1.1211901102050388
marches,2.7884513498892987e-4,3.1263840762837714e-4,158,0.16503092381316087,1.1211901102050386
squeezes,6.246131023752028e-4,6.98225777036709e-4,356,0.16073078637953564,1.1178532348770476
begins,0.00496623185415284,0.005544121095276555,2843,0.1588071523789381,1.1163637256767371
kneels,0.0010428808048585977,0.001161972748352135,595,0.15600195801203529,1.1141951629934208
turns,0.028288838944626932,0.03145142380741474,16179,0.15289236386202915,1.1117962058809945
not,1.0317269994590405e-4,1.1463408279707162e-4,57,0.15197477098771456,1.1110892984013896
leads,0.0012575915588000737,0.001396451554073418,717,0.15110208518175855,1.1104174040463797
snarls,7.528818644701106e-5,8.33702420342339e-5,41,0.14710901581589858,1.1073482569926307
rolls,0.0016423978450847967,0.0018133027642445875,935,0.14281618999763496,1.1040581730372199
wipes,0.0012938414263486346,0.0014277153948362557,736,0.14204760581232181,1.1034701515667407
whirls,4.628829240816235e-4,5.106427324596827e-4,262,0.14166693074765085,1.1031790240973274
tell,1.0874960264568264e-4,1.1984472292421124e-4,60,0.140156255174132,1.102024467295551
flushes,9.480734589623615e-5,1.0421280254279238e-4,52,0.13646177161639017,1.0992059903970968
peeks,3.318257106368265e-4,3.6474480889977335e-4,187,0.13646177161639017,1.0992059903970968
shuts,0.0010763422210572692,0.0011828153088606936,611,0.13608796800220185,1.0989212220058022
sits,0.008220354579473652,0.009014407419951541,4676,0.1330320314083843,1.0965959354673884
grimaces,2.0913385124169737e-4,2.2926816559414324e-4,117,0.13260944612078374,1.0962747744227046
frees,8.086508914678966e-5,8.858088216137353e-5,44,0.13147836410213437,1.0954156249129687
only,3.2346035658715864e-4,3.543235286454941e-4,182,0.13147836410213437,1.0954156249129687
put,1.4778792154413283e-4,1.615298439413282e-4,82,0.12827237380304304,1.0929840696967357
calls,0.0011014382832062728,0.001203657869369252,624,0.12803671633095967,1.0928055504530125
glares,5.437480132284132e-4,5.940129744939165e-4,307,0.12755621839449807,1.0924416458408068
tucks,3.150950025374907e-4,3.4390224839121487e-4,177,0.1262116749226331,1.091424001084551
plops,1.673070809933579e-4,1.8237240444988668e-4,93,0.12438893931581521,1.090045940477121
scurries,1.3384566479468632e-4,1.4589792355990932e-4,74,0.12438893931581521,1.090045940477121
like,1.0038424859601475e-4,1.09423442669932e-4,55,0.1243889393158149,1.0900459404771208
whispers,7.556703158199999e-4,8.232811400880598e-4,427,0.12362822480259852,1.089471324799484
tries,0.007470261166353431,0.008123387958210666,4236,0.1209228648347729,1.0874302487306553
remains,4.796136321809593e-4,5.21064012713962e-4,270,0.11958795305199427,1.0864245253924796
actually,2.063453998918081e-4,2.2405752546700362e-4,115,0.11880790705251548,1.0858372688922673
continues,0.003240180468571365,0.003517182085819243,1835,0.11834585651303169,1.0854895645272535
pinches,8.644199184656825e-5,9.379152228851315e-5,47,0.1177252090348046,1.085022687295199
tells,2.3144146204081176e-4,2.5011072610270173e-4,129,0.11191958735359886,1.080665166462688
lets,0.002551432985148708,0.002751217987129719,1441,0.10876270416641588,1.0783030568092176
yawns,1.4499947019424352e-4,1.5631920381418857e-4,80,0.10844739544679347,1.078067413658691
disappears,0.0011070151859060514,0.0011932365891149728,624,0.1082051089333535,1.0778863779888912
heads,0.003109123255126568,0.003350441601750775,1756,0.10784345049964746,1.0776162045767412
looks,0.053964898974407594,0.058103848057733894,30502,0.1066123893306466,1.0766970597923136
chokes,1.840377890926937e-4,1.9800432483130551e-4,102,0.10552991206449909,1.0758894996917037
discovers,2.230761079911439e-4,2.396894458484225e-4,124,0.10363037914901778,1.074473855613162
plugs,1.3105721344479704e-4,1.406872834327697e-4,72,0.10229516846519829,1.073479892749505
springs,1.7009553234324722e-4,1.8237240444988668e-4,94,0.1005421973614472,1.0721763348955287
watches,0.00580555571046952,0.006221504311804705,3274,0.09982928594475504,1.071646647122011
cautiously,1.561532755938007e-4,1.667404840684678e-4,86,0.09464159592176309,1.0678001049571797
opens,0.009374773438327821,0.010004429044108068,5280,0.09378310435171829,1.0671648877620832
clutches,5.521133672780811e-4,5.888023343667769e-4,309,0.09281886031494517,1.0664518725014256
studies,0.0012297070453011806,0.0013026600317849048,689,0.08314595708393362,1.059325500949583
dropped,8.365354049667896e-5,8.858088216137353e-5,45,0.0825687636211881,1.0589017707492032
massages,8.365354049667896e-5,8.858088216137353e-5,45,0.0825687636211881,1.0589017707492032
obeys,8.365354049667896e-5,8.858088216137353e-5,45,0.0825687636211881,1.0589017707492032
