word2,total,female_he,female_she,male_he,male_she,female_ratio,female_logratio,male_ratio,male_logratio
sobs,41,3.891504844923532e-5,3.5156799324989455e-4,1.4724572987383366e-4,6.279605237655924e-4,9.03424272254254,3.175403675110865,4.264711270769315,2.0924480715952622
hates,42,1.1674514534770595e-4,8.789199831247363e-4,4.0298831333891315e-4,4.961663397654064e-4,7.528535602118783,2.9123692692770713,1.2312176888070958,0.3000858640131312
giggles,55,2.334902906954119e-4,0.001476585571649557,1.7436994327164513e-4,0.0012946840428253571,6.323969905779778,2.6608305022811067,7.424926673333901,2.8923767782986003
ties,43,1.945752422461766e-4,9.843903810997047e-4,4.2623763910846585e-4,7.752599058834474e-4,5.059175924623823,2.3389024073937446,1.818844313010482,0.8630220584042881
buries,47,1.556601937969413e-4,7.73449585149768e-4,2.6349235872159707e-4,5.814449294125856e-4,4.968833497398396,2.3129071988608,2.2066861150494823,1.1418814313997647
sweeps,49,2.334902906954119e-4,0.001089860779074673,4.184878638519483e-4,4.1864034917706163e-4,4.6676920733136456,2.222709389889222,1.0003643721557653,5.255821542233446e-4
understands,67,1.945752422461766e-4,8.086063844747574e-4,4.533618525062773e-4,6.667235190597648e-4,4.155751652369569,2.0551094413931534,1.4706211282973642,0.5564256172729166
covers,114,4.280655329415885e-4,0.0016875263675994938,7.904770761647912e-4,0.0012714262456488539,3.942215006200381,1.9790064623073618,1.608428990524956,0.6856522448008114
barely,69,3.5023543604311786e-4,0.001160174377724652,4.533618525062773e-4,4.1088775011822716e-4,3.312555664932265,1.727944698139644,0.9063130209274455,-0.14191868286598208
came,122,2.334902906954119e-4,7.73449585149768e-4,0.001146966737964599,6.667235190597648e-4,3.312555664932265,1.727944698139644,0.581292810847269,-0.7826630287726286
simply,42,1.1674514534770595e-4,3.86724792574884e-4,5.424842679562292e-4,1.6280458023552397e-4,3.312555664932265,1.727944698139644,0.3001093116467296,-1.7364400120119827
sips,82,3.5023543604311786e-4,0.001089860779074673,6.742304473170278e-4,7.442495096481095e-4,3.1117947155424304,1.6377468891680655,1.1038503416891203,0.14254458702665115
tucks,58,1.945752422461766e-4,5.976655885248207e-4,4.7661117827583e-4,5.271767360007443e-4,3.0716425256644637,1.61901032658648,1.106093939944586,0.1454739180653227
gathers,89,3.891504844923532e-4,0.001160174377724652,4.804860659040888e-4,9.458170851778058e-4,2.9813000984390383,1.575941604694594,1.9684589258548928,0.9770666093302341
used,46,2.334902906954119e-4,6.679791871747996e-4,2.6349235872159707e-4,4.57403344471234e-4,2.860843528805138,1.5164405929459321,1.7359264105055927,0.7957057902657251
wheels,50,2.334902906954119e-4,6.679791871747996e-4,4.301125267367246e-4,4.4189814635356504e-4,2.860843528805138,1.5164405929459321,1.027401247078894,0.038999729968858886
clutches,81,2.7240533914464724e-4,7.73449585149768e-4,6.858551102018041e-4,7.830125049422819e-4,2.839333427084798,1.505552276803196,1.1416587750026248,0.19113151482302057
bangs,72,2.7240533914464724e-4,7.382927858247785e-4,7.517281998822035e-4,5.349293350595787e-4,2.7102728167627617,1.4384380809446589,0.7115993987499772,-0.49086280325473564
gasps,123,6.226407751877651e-4,0.0016875263675994938,7.207290988561332e-4,0.001798602981649598,2.7102728167627617,1.4384380809446589,2.495532627313307,1.319347766173764
stirs,65,2.334902906954119e-4,6.328223878498101e-4,3.216156731454788e-4,9.535696842366404e-4,2.7102728167627617,1.4384380809446589,2.9649353680761235,1.5680006561465383
flinches,45,3.5023543604311786e-4,9.140767824497258e-4,2.789919092346322e-4,6.977339152951027e-4,2.609892342067845,1.3839902969222826,2.500910930389413,1.3224536770415853
snaps,168,7.39385920535471e-4,0.0018984671635494305,0.0015460801636752535,0.001325694439060695,2.5676268790384063,1.360435568943386,0.857455176133513,-0.2218668391822249
chooses,46,2.334902906954119e-4,5.976655885248207e-4,2.9061657211940854e-4,2.713409670592066e-4,2.5597021047203863,1.355975920752686,0.9336734140120475,-0.0990100913966913
hugs,159,0.0010117912596801183,0.00256644635072423,8.13726401934344e-4,0.00258161548659188,2.53653737979079,1.3428604209624277,3.172584151693998,1.6656584315593626
emerges,72,2.7240533914464724e-4,6.679791871747996e-4,4.572367401345361e-4,7.287443115304406e-4,2.4521515961186893,1.294048171609484,1.5938008641125752,0.6724713844700193
never,134,5.837257267385298e-4,0.0014062719729995782,0.0010307201091168355,0.0010155904767073162,2.4091313926780105,1.2685130795023465,0.9853212988902652,-0.021333851809515844
spies,42,1.1674514534770595e-4,2.812543945999156e-4,4.3786230199324217e-4,1.783097783531929e-4,2.4091313926780105,1.2685130795023465,0.40722797450588677,-1.2960914242039516
settles,66,1.945752422461766e-4,4.570383912248629e-4,4.533618525062773e-4,5.504345331772477e-4,2.3489031078610605,1.2319872034772326,1.2141174431292194,0.2799079820755008
winces,83,4.669805813908238e-4,0.001089860779074673,8.059766266778263e-4,5.814449294125856e-4,2.3338460366568228,1.2227093898892218,0.7214166145354077,-0.47109544549098786
flashes,54,2.7240533914464724e-4,6.328223878498101e-4,3.332403360302551e-4,4.961663397654064e-4,2.323090985796653,1.2160456596082108,1.4889144143713717,0.5742608274521255
wakes,83,3.5023543604311786e-4,8.086063844747574e-4,6.122322452648873e-4,0.0010000852785896472,2.3087509179830934,1.2071125348382032,1.6335063798492877,0.7079720894003745
speeds,41,2.334902906954119e-4,5.273519898748418e-4,3.1774078551722e-4,3.566195567063858e-4,2.258560680635635,1.1754036751108652,1.1223600272967122,0.1665355335931524
fumbles,76,3.891504844923532e-4,8.789199831247363e-4,5.773582566105583e-4,4.496507454123995e-4,2.2585606806356346,1.175403675110865,0.7788071622152267,-0.3606619431803661
peers,150,7.783009689847064e-4,0.0017578399662494726,0.0013988344338014198,0.0014109730287078742,2.2585606806356346,1.175403675110865,1.0086776494866996,0.012465195465748473
hurries,147,0.0010507063081293536,0.0023555055547742933,0.0010694689853994234,0.0019381497647086186,2.2418306015198155,1.1646772685178066,1.8122542973836329,0.8577854100381413
nudges,44,2.7240533914464724e-4,5.976655885248207e-4,3.564896617998078e-4,3.1785656141221347e-4,2.194030375474617,1.1335834994162381,0.8916291143127474,-0.1654843692847058
frowns,82,4.669805813908238e-4,0.001019547180424694,5.967326947518522e-4,0.001077611269177992,2.183275324614447,1.1264940746299186,1.8058525679175503,0.8526801141828293
means,100,6.226407751877651e-4,0.0013359583743495992,7.982268514213088e-4,0.0010078378776484816,2.145632646603853,1.1014030936670882,1.2625958095169851,0.33639286799945917
darts,51,1.1674514534770595e-4,2.4609759527492617e-4,4.6498651539105364e-4,7.132391134127716e-4,2.1079899685932593,1.0758680015599507,1.5338920373055067,0.6171969426027175
spits,82,4.280655329415885e-4,8.789199831247363e-4,5.734833689822995e-4,8.372806983541233e-4,2.0532369823960317,1.03790015136093,1.4599912458489546,0.5459597186887418
squints,70,3.113203875938826e-4,6.328223878498101e-4,7.24603986484392e-4,3.1785656141221347e-4,2.032704612572071,1.023400581665815,0.4386624519613516,-1.1888168731153297
downs,44,5.058956298400591e-4,0.001019547180424694,2.983663473759261e-4,3.023513632945445e-4,2.015331068874874,1.0110168572099825,1.0133561172486971,0.019141260321569972
breathes,90,7.004708720862357e-4,0.0013711151736745886,5.812331442388171e-4,7.364969105892751e-4,1.9574192565508837,0.9689527976434388,1.267128204730636,0.3415624999892902
rings,57,2.334902906954119e-4,4.570383912248629e-4,3.836138751976193e-4,5.504345331772477e-4,1.9574192565508837,0.9689527976434388,1.4348660691527138,0.5209160815792956
swallows,90,7.004708720862357e-4,0.0013711151736745886,6.432313462909576e-4,7.985177030599509e-4,1.9574192565508837,0.9689527976434388,1.2414160280969135,0.3119866779905169
freezes,148,0.0010507063081293536,0.002039094360849388,0.0010810936482841997,0.0014807464202373846,1.9406891774350639,0.9565690731876062,1.3696745167150621,0.45383309836078434
sneaks,49,3.5023543604311786e-4,6.679791871747996e-4,2.8674168449114977e-4,4.496507454123995e-4,1.9072290192034251,0.931478092224776,1.5681387455414697,0.6490532116528454
jerks,81,5.058956298400591e-4,9.140767824497258e-4,8.369757277038966e-4,4.57403344471234e-4,1.806848544508508,0.8534755802235029,0.5464953514554644,-0.871718870647404
pockets,45,1.945752422461766e-4,3.5156799324989455e-4,5.347344926997117e-4,1.3954678305902053e-4,1.806848544508508,0.8534755802235029,0.2609646188232431,-1.9380738731816334
considers,83,3.5023543604311786e-4,6.328223878498101e-4,7.284788741126507e-4,0.0010000852785896472,1.8068485445085078,0.8534755802235027,1.3728404681712099,0.4571639858998401
hides,55,2.7240533914464724e-4,4.921951905498523e-4,5.153600545584178e-4,3.7212475482405476e-4,1.8068485445085078,0.8534755802235027,0.722067516744011,-0.46979435262581015
retreats,41,1.556601937969413e-4,2.812543945999156e-4,2.6349235872159707e-4,2.8684616517687554e-4,1.8068485445085078,0.8534755802235027,1.0886318167577445,0.12251610653283347
lays,151,9.72876211230883e-4,0.0016875263675994938,0.001131467187451564,0.0014032204296490398,1.7345746027281677,0.7945818911699343,1.240177749042421,0.31054691035741105
becomes,84,4.669805813908238e-4,8.086063844747574e-4,6.471062339192163e-4,6.434657218832614e-4,1.7315631884873202,0.7920750355593594,0.9943741663344733,-0.0081392789729042
twists,89,4.669805813908238e-4,8.086063844747574e-4,7.323537617409095e-4,7.907651040011163e-4,1.7315631884873202,0.7920750355593594,1.0797583699459052,0.110708499904646
struggles,231,0.0012841965988247656,0.0022148783574743357,0.0021970612852227284,0.002659141477180225,1.7247190652126667,0.7863613843649658,1.2103173885341358,0.2753854233848068
breaks,200,0.0012452815503755303,0.0021445647588243565,0.0014259586471992312,0.0020466861515323013,1.7221525189846714,0.7842129177863888,1.4353054035278372,0.5213577454556638
bites,62,3.891504844923532e-4,6.679791871747996e-4,4.4561207724975977e-4,5.504345331772477e-4,1.7165061172830827,0.779474998779726,1.2352325290966841,0.30478265071453015
hesitates,216,0.001712262131766354,0.002882857544649135,0.001658451904894758,0.0028994720480040935,1.683654325564746,0.7515959662042891,1.7483003513376458,0.805953055640713
stuffs,51,2.334902906954119e-4,3.86724792574884e-4,4.06863200967172e-4,3.1785656141221347e-4,1.6562778324661325,0.727944698139644,0.7812369382549785,-0.3561679308938158
pops,122,7.783009689847064e-4,0.0012656447756996202,0.0012438389286710686,9.923326795308128e-4,1.626163690057657,0.7014724867784526,0.797798377794006,-0.32590390496807986
regards,51,3.5023543604311786e-4,5.625087891998312e-4,4.533618525062773e-4,7.054865143539371e-4,1.6060875951186737,0.6835505787811904,1.5561223566867457,0.6379555027695147
kicks,189,0.001362026695723236,0.002179721558149346,0.0018289469605381444,0.0018063555807084325,1.60035156799325,0.6783888736654117,0.9876478758995478,-0.017931322553337906
passes,501,0.005448106782892944,0.008718886232597384,0.006474937226820422,0.006132305855538069,1.60035156799325,0.6783888736654117,0.9470834450930106,-0.07843655143417289
bounces,47,4.669805813908238e-4,7.382927858247785e-4,4.339874143649834e-4,3.643721557652203e-4,1.5809924764449446,0.660830502281107,0.8395915266307316,-0.2522404882257435
doubles,42,3.113203875938826e-4,4.921951905498523e-4,2.983663473759261e-4,2.0932017458853082e-4,1.5809924764449443,0.6608305022811067,0.7015542350183289,-0.5113734563772095
loves,82,8.950461143324124e-4,0.0014062719729995782,5.65733593725782e-4,7.132391134127716e-4,1.5711726473987027,0.6518417190538524,1.2607331813469917,0.3342629793312188
ducks,126,7.004708720862357e-4,0.001089860779074673,0.0012128398276449984,0.0015970354061199017,1.5558973577712152,0.6377468891680657,1.31677355056925,0.3970072624048231
found,49,2.7240533914464724e-4,4.2188159189987344e-4,3.4873988654329026e-4,5.736923303537511e-4,1.5487273238644355,0.6310831588870549,1.6450436342117027,0.7181258514534982
adjusts,72,3.891504844923532e-4,5.976655885248207e-4,5.851080318670758e-4,4.3414554729473057e-4,1.5358212628322319,0.6190103265864799,0.741992117095667,-0.4305242351132514
knocks,195,0.0011674514534770596,0.0017929967655744622,0.0017243249945751574,0.0017908503825907636,1.5358212628322316,0.6190103265864797,1.0385805391819405,0.05461309771652056
clicks,142,0.001478771841070942,0.002250035156799325,0.001321336681236244,0.001682313995767081,1.5215566690597961,0.6055480667799172,1.2731910191073377,0.34844888557453013
needs,158,9.72876211230883e-4,0.001476585571649557,0.0015848290399578411,0.0011396320616486677,1.5177527773871466,0.6019368132275383,0.7190883261950978,-0.4757591059511612
signals,50,2.334902906954119e-4,3.5156799324989455e-4,4.921107287888651e-4,3.333617595298824e-4,1.5057071204237569,0.5904411743897091,0.6774120945306757,-0.5618943499158445
stumbles,175,0.0010507063081293536,0.0015820559696245254,0.0015383303884187358,0.0012171580522370125,1.5057071204237567,0.5904411743897089,0.7912201835186657,-0.3378488660971075
hears,566,0.0082499902712378885,0.012410350161721278,0.01016770513655104,0.0086131375543651,1.5042866420082623,0.5890794989314837,0.8471073303849506,-0.23938332107476856
writes,112,0.0013231116472740008,0.0019687807621994093,0.001325211568864503,7.054865143539371e-4,1.4879929190070067,0.5733676610307676,0.5323576483402025,-0.9095322925329785
brings,164,0.0011674514534770596,0.0017226831669244832,0.0014337084224557489,0.0015427672127080604,1.4755929780152814,0.5612948287301924,1.0760676219405259,0.1057687421815599
sprints,62,3.113203875938826e-4,4.570383912248629e-4,7.24603986484392e-4,2.480831698827032e-4,1.4680644424131626,0.5539152983645947,0.34237069421373784,-1.5463688777334135
feels,306,0.0025683931976495313,0.003726620728448882,0.0033905266747264328,0.0027831830621215764,1.4509541342265289,0.5370019154282483,0.8208704219518166,-0.2847735907424165
pushes,439,0.0042028252325174145,0.006082126283223175,0.005358969589881893,0.005853212289420028,1.4471518435183883,0.5332163056967588,1.0922271886877841,0.12727297521617023
crawls,102,9.72876211230883e-4,0.0014062719729995782,9.377228060386248e-4,9.768274814131437e-4,1.4454788356068065,0.5315474853361405,1.0417017429060034,0.058942268379545006
pokes,60,1.945752422461766e-4,2.812543945999156e-4,5.541089308410056e-4,3.2560916047104794e-4,1.4454788356068062,0.5315474853361403,0.5876266242033866,-0.7670283318454058
remembers,90,0.0010117912596801183,0.0014414287723245676,8.253510648191202e-4,6.357131228244269e-4,1.4246305831701698,0.5105878667004943,0.7702336010964578,-0.3766320334535313
searches,125,0.0010117912596801183,0.0014414287723245676,9.958461204625066e-4,7.752599058834474e-4,1.4246305831701698,0.5105878667004943,0.7784936748293892,-0.3612427772649303
also,88,5.058956298400591e-4,7.031359864997891e-4,7.711026380234973e-4,5.659397312949167e-4,1.3898834957757755,0.4749639569697731,0.7339356700238279,-0.44627447950940824
realizes,257,0.0024905631007510606,0.0034453663338489663,0.002933289934591897,0.002155222538355984,1.3833684168893263,0.4681854243387109,0.7347458268409583,-0.44468283510800105
tries,655,0.009534186870062654,0.013113486148221066,0.011117052605474442,0.011590135592957539,1.3754173614319867,0.45986946147616997,1.0425547134003965,0.06012309847102595
eases,43,2.334902906954119e-4,3.1641119392490505e-4,4.2623763910846585e-4,2.1707277364736528e-4,1.3551364083813808,0.4384380809446588,0.509276407642935,-0.9734792093128323
meets,63,4.669805813908238e-4,6.328223878498101e-4,4.2623763910846585e-4,6.744761181185992e-4,1.3551364083813808,0.4384380809446588,1.5823945523191194,0.6621093644782917
scans,153,0.0010117912596801183,0.0013711151736745886,0.0017785734213707802,9.458170851778058e-4,1.3551364083813808,0.4384380809446588,0.5317841106884678,-0.9110874236966986
leaves,363,0.003541269408880414,0.004746167908873576,0.003588145943767631,0.005039189388242408,1.340244799498069,0.4224965370756374,1.4043992265685687,0.4899531068098035
must,121,8.172160174339417e-4,0.001089860779074673,0.0012322142657862922,0.001031095674824985,1.3336263066610416,0.4153544678316177,0.8367827767089105,-0.25707493762894257
climbs,278,0.002724053391446472,0.0036211503304739135,0.003340153135559069,0.0023490375148268457,1.3293242863169736,0.4106930904617546,0.703272400842684,-0.5078444934619242
got,123,6.615558236370004e-4,8.789199831247363e-4,0.001197340277131963,8.605384955306266e-4,1.3285651062562558,0.409868928747888,0.7187083838788993,-0.4765215794000453
saw,89,5.837257267385298e-4,7.73449585149768e-4,7.091044359713568e-4,6.899813162362682e-4,1.3250222659729058,0.4060166032522815,0.9730320122607989,-0.03944082516342157
forces,100,0.001089621356578589,0.0014414287723245676,6.316066834061812e-4,9.225592880013025e-4,1.322871255800872,0.4036726627839824,1.4606547274421604,0.5466151912310893
may,88,5.058956298400591e-4,6.679791871747996e-4,7.207290988561332e-4,6.279605237655924e-4,1.3203893209869866,0.4009633755259961,0.8712850983292149,-0.19878322606918353
opens,679,0.01031248783904736,0.01357052453944593,0.012577885241328001,0.013559295753901496,1.3159312041137436,0.39608406804102175,1.07802667091832,0.10839287152790425
almost,119,8.56131065883177e-4,0.0011250175783996624,8.408506153321553e-4,0.0012326632503546814,1.3140716687334602,0.3940439615862053,1.4659717527443934,0.5518573049940994
bursts,80,8.56131065883177e-4,0.0011250175783996624,5.967326947518522e-4,6.744761181185992e-4,1.3140716687334602,0.3940439615862053,1.1302818230850853,0.17668253730805
thrusts,56,4.280655329415885e-4,5.625087891998312e-4,5.153600545584178e-4,3.333617595298824e-4,1.3140716687334602,0.3940439615862053,0.6468521504165099,-0.6284920986448683
exits,255,0.0019846674709110015,0.0026016031500492197,0.0025148020707399486,0.0034731643783578446,1.3108509048395056,0.3905036038809568,1.3810885630994847,0.4658058362126886
dumps,56,3.5023543604311786e-4,4.570383912248629e-4,6.161071328931461e-4,3.4886695764755135e-4,1.3049461710339225,0.38399029692228265,0.5662439842391124,-0.8205042768004576
ignores,97,9.72876211230883e-4,0.0012656447756996202,4.8823584116060634e-4,0.001224910651295847,1.3009309520461256,0.3795443918910903,2.508850330168427,1.3270264068314097
bolts,84,6.226407751877651e-4,8.086063844747574e-4,7.091044359713568e-4,7.597547077657785e-4,1.2986723913654898,0.37703753628051534,1.0714285078826775,0.09953558798538893
sniffs,67,6.226407751877651e-4,8.086063844747574e-4,7.129793235996156e-4,3.4886695764755135e-4,1.2986723913654898,0.37703753628051534,0.48930866029358083,-1.031183277573115
tears,147,8.950461143324124e-4,0.001160174377724652,0.0014259586471992312,0.0011318794625898333,1.2962174341039296,0.37430774352494334,0.7937673822540312,-0.3332118150227723
wraps,104,0.0011674514534770596,0.0015117423709745464,6.742304473170278e-4,0.00117839505694284,1.2949081235644306,0.3728497393170821,1.7477630410077738,0.8055095997490804
can,720,0.013737012102580068,0.017754183659119675,0.019110945782572306,0.016295963221670064,1.2924341571909301,0.3700907845914798,0.8527031266307454,-0.22988454828643767
misses,57,5.448106782892945e-4,7.031359864997891e-4,6.509811215474751e-4,3.4886695764755135e-4,1.2906061032203628,0.368048753053261,0.5359094850834457,-0.8999387442948622
tugs,65,2.7240533914464724e-4,3.5156799324989455e-4,4.804860659040888e-4,6.977339152951027e-4,1.2906061032203628,0.368048753053261,1.4521418305486915,0.5381823680970227
zips,43,2.7240533914464724e-4,3.5156799324989455e-4,3.603645494280666e-4,2.480831698827032e-4,1.2906061032203628,0.368048753053261,0.6884227937416019,-0.5386332289538083
keeps,322,0.0033856092150834727,0.004359443116298692,0.003944635605567438,0.004023598911535092,1.287639192638247,0.36472839476164975,1.020017896166684,0.028594464436408593
notices,432,0.00431957037786512,0.005554774293348334,0.006316066834061812,0.0070316073463628686,1.2859552704159651,0.36284046205049975,1.1132889393193608,0.1548280735643057
closes,411,0.005214616492197533,0.006679791871747996,0.004165504200378189,0.005442324539301801,1.28097471439036,0.35724199809667806,1.3065223986108785,0.38573185798196125
screams,252,0.0017900922286648248,0.0022851919561243145,0.0021273133079140706,0.0035894533642403617,1.2765777760114458,0.35228143719494437,1.6873176841825839,0.7547316264092608
nervously,42,1.945752422461766e-4,2.4609759527492617e-4,2.9061657211940854e-4,3.1010396235337895e-4,1.2647939811559556,0.3389024073937446,1.0670553302994827,0.09363498654570442
strains,41,1.945752422461766e-4,2.4609759527492617e-4,4.184878638519483e-4,1.47299382117855e-4,1.2647939811559556,0.3389024073937446,0.3519800568696211,-1.5064344065656599
tumbles,47,1.945752422461766e-4,2.4609759527492617e-4,3.6811432468458413e-4,3.566195567063858e-4,1.2647939811559556,0.3389024073937446,0.9687739182982148,-0.04576807011971172
sighs,175,0.0018679223255632952,0.0023555055547742933,0.0016119532533556526,0.001976912760002791,1.2610297133548962,0.33460226996011905,1.2264082447101932,0.2944393008719892
finds,462,0.0053313616375452386,0.0067149486710729855,0.006998047056635357,0.0057679336997728484,1.2595185109530112,0.3328723252987249,0.8242204793841521,-0.2788977842186036
attempts,59,7.004708720862357e-4,8.789199831247363e-4,5.30859605071453e-4,3.333617595298824e-4,1.2547559336864638,0.327406768555915,0.62796595624376506,-0.6712417461042055
catches,310,0.0031132038759388255,0.00386724792574884,0.003533897516972008,0.003256091604710479,1.2422083743495993,0.3129071988608001,0.9213882375118889,-0.11811891434439603
fights,100,6.226407751877651e-4,7.73449585149768e-4,9.764716823212127e-4,0.0010388482738838195,1.242208374349599,0.3129071988607998,1.0638795703878772,0.08933484911207895
reacts,68,3.113203875938826e-4,3.86724792574884e-4,5.889829194953346e-4,0.0010155904767073162,1.242208374349599,0.3129071988607998,1.7243122730579639,0.7860210702480881
thinks,281,0.0024905631007510606,0.003093798340599072,0.002507052295483431,0.0028374512555334177,1.242208374349599,0.3129071988607998,1.1317878213570636,0.17860351844575806
races,122,0.001362026695723236,0.0016875263675994938,0.0012399640410428099,0.0012481684484723504,1.2389818590915485,0.30915506399969267,1.0066166494817388,0.009514365381477848
runs,534,0.007277114060007005,0.0090001406271973,0.008272885086332496,0.008272023195776385,1.2367733352785508,0.306581120335866,0.9998958174147088,-1.5031152920444367e-4
brushes,84,7.39385920535471e-4,9.140767824497258e-4,7.052295483430981e-4,7.054865143539371e-4,1.2362647936110844,0.3059877849210095,1.0003643721557651,5.255821542230243e-4
sits,634,0.009456356773164183,0.011672057375896498,0.01052031991072259,0.011876981758134415,1.2343080592115732,0.3037025079646464,1.128956330123486,0.17498968138745621
pats,98,8.56131065883177e-4,0.0010547039797496837,6.781053349452866e-4,6.744761181185992e-4,1.231942189437619,0.30093455719472395,0.9946480043148751,-0.007742033829377387
sticks,101,5.448106782892945e-4,6.679791871747996e-4,8.873492668712607e-4,8.062703021187853e-4,1.2260757980593446,0.2940481716094841,0.9086279013467212,-0.13823848780162865
manages,118,0.0010117912596801183,0.0012304879763746308,0.0012942124678384326,0.0012016528541193435,1.2161480588038034,0.282318879027377,0.9284819023002612,-0.10705430504559144
